mesh 1_z,z mid [cm],"(n,p) [rxns]",flux*V [trks-cm],"(n,p) sd",flux*V sd,"(n,p) macro-xs [1/cm]","(n,p) micro-xs [b]","(n,p) mode [eV]",flux mode [eV]
14,0.135,0.02523757907519278,0.0037596812327330663,1.190525781892596e-06,1.7726602512891532e-07,6.712691186546831,4032.667118195156,0.027428312499999996,0.0383190625
15,0.145,0.02339799364755246,0.003516517939483058,1.1129596369414973e-06,1.677865541512399e-07,6.653739309799186,3997.2516211449465,0.027428312499999996,0.0383190625
16,0.155,0.02171154774374349,0.0032909446462937547,1.1250426201448893e-06,1.6672287280952108e-07,6.5973603561503005,3963.381814502602,0.027428312499999996,0.0392063125
17,0.165,0.02016349657960188,0.0030815457044192905,1.1141133946510458e-06,1.6507727676437684e-07,6.543306026805025,3930.908532105275,0.027428312499999996,0.0392063125
18,0.175,0.01874073232774272,0.002887005435199961,1.096174754003096e-06,1.6183971188702586e-07,6.491408744592368,3899.7311015209343,0.030309437499999998,0.0392063125
19,0.185,0.01743157715384916,0.002706160048806357,1.066552977662701e-06,1.6019088657280864e-07,6.441443536031043,3869.7143693311928,0.0336341875,0.0392063125
20,0.195,0.01622534703673819,0.00253785015662906,9.836667036724703e-07,1.5184951071112203e-07,6.39334319812237,3840.8179631555095,0.032912687499999996,0.0412391875
21,0.205,0.015113444786874044,0.0023811826681377265,1.032157837719321e-06,1.574617645498838e-07,6.347032921541444,3812.9969410925996,0.0336341875,0.043959437500000004
22,0.215,0.01408669610716431,0.002235161374698405,1.0658245025682274e-06,1.5938448039329867e-07,6.302317258441824,3786.1338873278855,0.036261812500000004,0.043959437500000004
23,0.225,0.013137997665732403,0.00209902495789477,1.0495153377671975e-06,1.5792525128756503e-07,6.25909549875445,3760.168300019009,0.036261812500000004,0.043959437500000004
24,0.235,0.012260254835317947,0.0019719838867551798,9.752594378338871e-07,1.4940797713634833e-07,6.2172185673847995,3735.0106219056834,0.036261812500000004,0.043959437500000004
25,0.245,0.011447604665998722,0.0018533630160642114,8.940142703183577e-07,1.3881438106655616e-07,6.176666182920156,3710.648668875173,0.0374805625,0.045553562500000006
26,0.255,0.010695648256141038,0.0017426801926695246,8.197305101784866e-07,1.2928194559631479e-07,6.137470490071336,3687.1017519481593,0.0374805625,0.048390812500000005
27,0.265,0.009997875072110793,0.00163917816308563,7.517133103698693e-07,1.1996090208663198e-07,6.0993217804283955,3664.1838129720627,0.0374805625,0.048390812500000005
28,0.275,0.009350742589567366,0.0015424318915264316,7.2303873286966e-07,1.1935467977844355e-07,6.062337430221066,3641.9653660296767,0.0374805625,0.048390812500000005
29,0.285,0.008749990248888695,0.0014519396463093708,7.312291872717332e-07,1.1880101428673555e-07,6.026414576618221,3620.3846160010953,0.0374805625,0.047786312500000004
30,0.295,0.008191651916202613,0.0013672407709332346,7.233833235427374e-07,1.1971624215426084e-07,5.991374811483463,3599.334383722957,0.0374805625,0.0498240625
31,0.305,0.007672388050254516,0.001287884604284325,7.059118980390012e-07,1.1975455340465164e-07,5.957356757531897,3578.897947160762,0.0374805625,0.0498240625
32,0.315,0.00718913478820499,0.001213521393969246,6.93314853456676e-07,1.1828818760790486e-07,5.924192868730901,3558.9746525889386,0.0374805625,0.0498240625
33,0.325,0.006739603427893809,0.001143866885758035,6.381091302445319e-07,1.0894989675843861e-07,5.891947316428788,3539.603051115988,0.0400789375,0.0512378125
34,0.335,0.006320726170011527,0.0010785520963858515,6.331430597551399e-07,1.0621564830086609e-07,5.860380959984978,3520.6394783648234,0.044081312500000004,0.0512378125
35,0.345,0.005930504953665556,0.0010172929052122547,6.290936029159251e-07,1.0471248090088407e-07,5.829692631571215,3502.203383292466,0.043959437500000004,0.0512378125
36,0.355,0.005566616704477379,0.0009598066095452153,5.929430264410231e-07,9.859756356256038e-08,5.799727412916032,3484.201698334507,0.0427163125,0.0512378125
37,0.365,0.005226924875615946,0.0009058115855091382,5.696807975940584e-07,9.563600445845149e-08,5.770432791139449,3466.602876238363,0.0427163125,0.0504724375
38,0.375,0.004909765630104093,0.0008550812214040029,5.476149544058085e-07,9.196913902752596e-08,5.74187048809526,3449.4439965721767,0.043959437500000004,0.052524812500000004
39,0.385,0.0046137605344308,0.000807442996966909,5.068519730153497e-07,8.6374064270849e-08,5.71403870212758,3432.7239769863736,0.043959437500000004,0.052524812500000004
40,0.395,0.004337344637314979,0.0007627038319486911,4.669721775512341e-07,8.053565711048786e-08,5.686800636930276,3416.360636735513,0.0504724375,0.052524812500000004
41,0.405,0.004078682942731669,0.0007206022748804477,4.5337571204614615e-07,7.886287118524885e-08,5.660102784727327,3400.3218308805613,0.0504724375,0.0571073125
42,0.415,0.003836824224545946,0.0006810074498713122,4.141059727904305e-07,7.196583846101547e-08,5.6340414855534675,3384.665435954113,0.0504724375,0.0571073125
43,0.425,0.0036104545106554324,0.0006437395751219658,3.6286014424848246e-07,6.378051217592603e-08,5.608563851261404,3369.3596792607436,0.0488880625,0.0571073125
44,0.435,0.0033986076497562767,0.0006086771424421884,3.4406518167410267e-07,6.247991812108505e-08,5.583596643895779,3354.3605629036115,0.0488880625,0.0571073125
45,0.445,0.0032001178686422364,0.0005756625196165547,3.619400185909089e-07,6.4430585212088e-08,5.559017235955913,3339.594418084905,0.0488880625,0.0571073125
46,0.455,0.0030141655904682117,0.0005445670605582651,3.727518942602382e-07,6.40879882407228e-08,5.534975963067299,3325.1515593322524,0.0512378125,0.0571073125
47,0.465,0.0028398831887933647,0.000515277401725807,3.6110843411759074e-07,6.153279695176251e-08,5.511367623112925,3310.968786193518,0.0512378125,0.0592961875
48,0.475,0.0026766252476125023,0.000487696314410501,3.6172972560879827e-07,6.194588651145632e-08,5.488303209442646,3297.1127782194,0.0509501875,0.0592961875
49,0.485,0.0025233205120655557,0.0004616695466076342,3.6737410094453807e-07,6.417606357603899e-08,5.465642103983278,3283.499058727716,0.052524812500000004,0.0571073125
50,0.495,0.0023795075084455507,0.0004371424273063109,3.6529229352856266e-07,6.522292873751667e-08,5.443323182122063,3270.0909069444683,0.052524812500000004,0.0624551875
51,0.505,0.002244551675060004,0.00041400857840313805,3.7099360427477374e-07,6.747893584354891e-08,5.4215100656063875,3256.986619070416,0.052524812500000004,0.06395181250000001
52,0.515,0.0021178304771873203,0.0003921773603375051,3.6160134755726845e-07,6.611867452263527e-08,5.400185455286684,3244.1758025953577,0.052524812500000004,0.0632351875
53,0.525,0.001998795353016696,0.00037158117962497,3.4163820033382285e-07,6.314918064136102e-08,5.379161977563134,3231.5458923298925,0.052524812500000004,0.0695190625
54,0.535,0.0018869220421378159,0.00035213735970800674,3.0769297530269767e-07,5.7208512315785804e-08,5.35848296159901,3219.122918384318,0.0544406875,0.0695190625
55,0.545,0.0017817599888595376,0.0003337775302074889,2.906989944886549e-07,5.39096654851732e-08,5.338166376124621,3206.917675521252,0.0544406875,0.0695190625
56,0.555,0.001682881004033473,0.00031643974651737446,2.761698207502703e-07,5.104681874616035e-08,5.318172013960555,3194.906009170518,0.0544406875,0.0695190625
