mesh 1_x,mesh 1_y,mesh 1_z,energy low [eV],energy high [eV],nuclide,score,mean,std. dev.,z mid [cm],energy mid [eV]
1,1,1,0.014497375,0.01450225,total,"(n,p)",7.095098794202896e-06,2.6207493270210448e-08,0.005,0.0144998125
1,1,2,0.016462,0.016466875,total,"(n,p)",6.310540718565452e-06,2.338843037562947e-08,0.015,0.016464437499999998
1,1,3,0.016462,0.016466875,total,"(n,p)",5.64976562728011e-06,2.0933792573147425e-08,0.025,0.016464437499999998
1,1,4,0.016462,0.016466875,total,"(n,p)",5.050377498967795e-06,1.762828845777423e-08,0.035,0.016464437499999998
1,1,5,0.019167624999999997,0.0191725,total,"(n,p)",4.519056209738192e-06,2.1513597468898243e-08,0.045,0.019170062499999998
1,1,6,0.019167624999999997,0.0191725,total,"(n,p)",4.077971931542347e-06,2.3264271953569396e-08,0.055,0.019170062499999998
1,1,7,0.020069499999999997,0.020074375,total,"(n,p)",3.686436364982658e-06,2.0093376178358296e-08,0.065,0.020071937499999998
1,1,8,0.020396124999999998,0.020401,total,"(n,p)",3.3380708875381427e-06,2.1356257136145163e-08,0.075,0.0203985625
1,1,9,0.023340624999999997,0.023345499999999998,total,"(n,p)",3.0351317512328354e-06,1.601828680249654e-08,0.085,0.023343062499999997
1,1,10,0.023340624999999997,0.023345499999999998,total,"(n,p)",2.7639411292731943e-06,1.5606145560862023e-08,0.095,0.023343062499999997
1,1,11,0.027425875,0.027430749999999997,total,"(n,p)",2.5239054737606215e-06,1.2640276283252107e-08,0.105,0.027428312499999996
1,1,12,0.027425875,0.027430749999999997,total,"(n,p)",2.3140187554683484e-06,1.153366239359917e-08,0.115,0.027428312499999996
1,1,13,0.027425875,0.027430749999999997,total,"(n,p)",2.126338337358544e-06,1.2446673378412004e-08,0.125,0.027428312499999996
1,1,14,0.027425875,0.027430749999999997,total,"(n,p)",1.953839404100532e-06,1.233967243287216e-08,0.135,0.027428312499999996
1,1,15,0.027425875,0.027430749999999997,total,"(n,p)",1.7929491253658564e-06,1.03704667734788e-08,0.145,0.027428312499999996
1,1,16,0.027425875,0.027430749999999997,total,"(n,p)",1.6432226321243484e-06,1.0163210934402646e-08,0.155,0.027428312499999996
1,1,17,0.027425875,0.027430749999999997,total,"(n,p)",1.505781740799769e-06,9.185434586447367e-09,0.165,0.027428312499999996
1,1,18,0.030306999999999997,0.030311875,total,"(n,p)",1.3858709722390207e-06,1.4339640649297486e-08,0.175,0.030309437499999998
1,1,19,0.03363175,0.033636625,total,"(n,p)",1.2799803054562632e-06,1.0591555938026818e-08,0.185,0.0336341875
1,1,20,0.03291025,0.032915124999999996,total,"(n,p)",1.1837057696198569e-06,1.033900598165396e-08,0.195,0.032912687499999996
