z_idx,z_cm,min_eV,max_eV,mode_eV,"(n,p)_rate",stdev
1,0.005,0.0025,0.002504875,0.0025024375000000003,1.5202105729775393e-05,1.9703761108209484e-09
2,0.015,0.004191625,0.0041965,0.0041940625,1.1798727084665073e-05,1.5497405482459346e-09
3,0.025,0.0057175,0.005722375,0.0057199375,9.65690569990754e-06,1.432848646179721e-09
4,0.035,0.007204375000000001,0.00720925,0.0072068125000000005,8.11326091946265e-06,1.0259529389900623e-09
5,0.045,0.008540124999999999,0.008545,0.0085425625,6.9289161858914586e-06,1.0959822757294741e-09
6,0.055,0.009856375,0.00986125,0.009858812500000001,5.983387523294134e-06,8.281469348756985e-10
7,0.065,0.011055625,0.011060500000000001,0.0110580625,5.212319666627758e-06,7.285227352469412e-10
8,0.075,0.012016,0.012020875,0.0120184375,4.572878644560709e-06,6.562036530974469e-10
9,0.085,0.01309825,0.013103125,0.0131006875,4.034436614552748e-06,7.049825318535612e-10
10,0.095,0.01415125,0.014156125,0.014153687500000001,3.5766681023314437e-06,6.611761949290727e-10
11,0.105,0.0151945,0.015199375000000001,0.0151969375,3.184690990541827e-06,6.432247494537037e-10
12,0.115,0.0160135,0.016018374999999998,0.0160159375,2.8452609727842377e-06,5.732353612871168e-10
13,0.125,0.0169105,0.016915375,0.0169129375,2.550392075380978e-06,4.729778389472403e-10
14,0.135,0.01799275,0.017997625,0.0179951875,2.292767029927594e-06,4.812122090898439e-10
15,0.145,0.01875325,0.018758124999999997,0.0187556875,2.0667554946248456e-06,4.4885028879233327e-10
16,0.155,0.019430874999999997,0.019435749999999998,0.019433312499999997,1.86731506180394e-06,3.763312891232515e-10
17,0.165,0.020742249999999997,0.020747124999999998,0.020744687499999998,1.6903048628716265e-06,2.95757109080679e-10
18,0.17500000000000002,0.021127374999999997,0.021132249999999998,0.021129812499999998,1.533559751957958e-06,4.176684272899296e-10
19,0.185,0.021912249999999998,0.021917125,0.0219146875,1.3938667701333696e-06,3.644730490273562e-10
20,0.195,0.022599624999999998,0.0226045,0.0226020625,1.2690079900602014e-06,3.495993629837195e-10
21,0.20500000000000002,0.023896374999999997,0.02390125,0.023898812499999998,1.157831502173723e-06,3.103385433370642e-10
22,0.215,0.024208374999999997,0.02421325,0.024210812499999998,1.05718283419281e-06,2.9780161737263074e-10
23,0.225,0.024861625,0.0248665,0.0248640625,9.666348445015837e-07,2.851841010804359e-10
24,0.23500000000000001,0.025865875,0.025870749999999998,0.025868312499999997,8.850435266295159e-07,2.259093333203371e-10
25,0.245,0.026645875,0.026650749999999997,0.0266483125,8.116706208192243e-07,3.59492072700036e-10
