z_idx,z_cm,min_eV,max_eV,mode_eV,"(n,p)_rate",stdev
26,0.255,0.027567249999999998,0.027572125,0.0275696875,7.450119244218066e-07,2.9191893162534223e-10
27,0.265,0.027864624999999997,0.0278695,0.027867062499999998,6.846905298840744e-07,2.688499841487197e-10
28,0.275,0.028615375,0.02862025,0.0286178125,6.297823079807353e-07,2.1591393433643275e-10
29,0.28500000000000003,0.029541625,0.0295465,0.0295440625,5.800095886647577e-07,1.9636017243584886e-10
30,0.295,0.030550749999999998,0.030555625,0.0305531875,5.346220408159662e-07,2.1550207028701913e-10
31,0.305,0.0313795,0.031384375,0.0313819375,4.93199988512877e-07,2.0484515241616172e-10
32,0.315,0.0313795,0.031384375,0.0313819375,4.555221208110765e-07,1.982637143603855e-10
33,0.325,0.03238375,0.032388625,0.0323861875,4.2095090843744395e-07,1.5537936418854554e-10
34,0.335,0.032803,0.032807875,0.0328054375,3.893136217734545e-07,1.4708891712763875e-10
35,0.34500000000000003,0.033402625,0.0334075,0.0334050625,3.604118933596384e-07,1.518714533544768e-10
36,0.355,0.034051000000000005,0.034055875,0.034053437500000006,3.338566754338036e-07,1.5596478772806995e-10
37,0.365,0.035060125000000004,0.035065,0.035062562500000005,3.0952830482084955e-07,1.8370179155231868e-10
38,0.375,0.035201500000000004,0.035206375000000005,0.035203937500000004,2.871021136790577e-07,1.3319054224637052e-10
39,0.385,0.036249625,0.0362545,0.0362520625,2.664962404414593e-07,1.4930273162504308e-10
40,0.395,0.0369955,0.037000375,0.0369979375,2.475269370712099e-07,1.3996388534344473e-10
41,0.405,0.037799875000000004,0.037804750000000005,0.037802312500000004,2.3006567998024197e-07,9.363488123544798e-11
42,0.41500000000000004,0.038170375,0.03817525,0.0381728125,2.1403343002753407e-07,9.682181289462022e-11
43,0.425,0.038428750000000005,0.038433625,0.038431187500000005,1.9919525459578543e-07,1.0265828328009397e-10
44,0.435,0.03891625,0.038921125,0.0389186875,1.8543104954362996e-07,1.2079273028680297e-10
45,0.445,0.039784,0.039788875,0.0397864375,1.7275319585479604e-07,9.122722712720334e-11
46,0.455,0.039784,0.039788875,0.0397864375,1.609654604980108e-07,8.817327624362349e-11
47,0.465,0.0408175,0.040822375,0.0408199375,1.5011025268343047e-07,1.0937427457344188e-10
48,0.47500000000000003,0.041436625000000005,0.0414415,0.0414390625,1.4005670096314932e-07,9.422083877190403e-11
49,0.485,0.0420655,0.042070375,0.0420679375,1.3078021644862957e-07,8.067298565667397e-11
50,0.495,0.0420655,0.042070375,0.0420679375,1.2214377314610475e-07,7.76574825157446e-11
51,0.505,0.043679125,0.043684,0.0436815625,1.1404721011101671e-07,8.131589180605175e-11
52,0.515,0.043679125,0.043684,0.0436815625,1.06624427040055e-07,8.696586665524068e-11
53,0.525,0.044654125,0.044659000000000004,0.044656562500000004,9.971651469082736e-08,8.895240861185699e-11
54,0.535,0.046184875,0.04618975,0.0461873125,9.332002883831915e-08,7.213709925278922e-11
55,0.545,0.046184875,0.04618975,0.0461873125,8.73619496013653e-08,6.74843146758982e-11
56,0.555,0.046184875,0.04618975,0.0461873125,8.182025505386149e-08,6.549573523517071e-11
57,0.5650000000000001,0.046184875,0.04618975,0.0461873125,7.66347346478915e-08,6.232348738108022e-11
58,0.5750000000000001,0.04620925,0.046214125,0.0462116875,7.17813124799784e-08,7.648475164517684e-11
59,0.585,0.047842375,0.04784725,0.0478448125,6.729519224834773e-08,6.088637281677462e-11
60,0.595,0.048466375,0.04847125,0.0484688125,6.31188871493252e-08,7.201480765055926e-11
61,0.605,0.048466375,0.04847125,0.0484688125,5.920489174473562e-08,6.670314796393701e-11
62,0.615,0.049597375,0.04960225,0.0495998125,5.5553108860831533e-08,5.636988751853373e-11
63,0.625,0.049597375,0.04960225,0.0495998125,5.214143509295437e-08,5.380955342799436e-11
64,0.635,0.05049925,0.050504125000000004,0.0505016875,4.895714027875381e-08,6.863599258391368e-11
65,0.645,0.0515425,0.051547375,0.0515449375,4.599813674882193e-08,4.999826392179471e-11
66,0.655,0.0515425,0.051547375,0.0515449375,4.3237819345873223e-08,4.6819061965476584e-11
67,0.665,0.0515425,0.051547375,0.0515449375,4.0644010060840073e-08,4.614750498380602e-11
68,0.675,0.0515425,0.051547375,0.0515449375,3.8218760632348095e-08,4.51101249658531e-11
69,0.685,0.053068375,0.05307325,0.0530708125,3.594405100441966e-08,4.4353430824164366e-11
70,0.6950000000000001,0.053068375,0.05307325,0.0530708125,3.381299343939779e-08,4.01630595690472e-11
71,0.705,0.05363875,0.053643625,0.0536411875,3.1808808082392796e-08,5.253087606931572e-11
72,0.715,0.055583875,0.05558875,0.0555863125,2.995098531368585e-08,3.3042816217976574e-11
73,0.725,0.055583875,0.05558875,0.0555863125,2.8218587422124246e-08,3.1111343478975725e-11
74,0.735,0.055583875,0.05558875,0.0555863125,2.659208004094659e-08,2.8291496822438022e-11
75,0.745,0.055583875,0.05558875,0.0555863125,2.506752961688149e-08,2.8903616460369663e-11
76,0.755,0.055583875,0.05558875,0.0555863125,2.3617119980642307e-08,2.598281930388839e-11
77,0.765,0.055583875,0.05558875,0.0555863125,2.2266178089747107e-08,2.165003898893581e-11
78,0.775,0.055583875,0.05558875,0.0555863125,2.0976116451001038e-08,2.253186165606847e-11
79,0.785,0.059323,0.059327875,0.0593254375,1.9788882244552025e-08,2.6775169489978872e-11
80,0.795,0.059323,0.059327875,0.0593254375,1.8679724730746144e-08,2.7061221748916908e-11
81,0.805,0.059323,0.059327875,0.0593254375,1.763806494856698e-08,2.551794413626735e-11
82,0.8150000000000001,0.060488125000000004,0.060493,0.0604905625,1.6644051472828905e-08,2.8441294855209568e-11
83,0.8250000000000001,0.060488125000000004,0.060493,0.0604905625,1.5718079114893628e-08,2.577554108675635e-11
84,0.835,0.060488125000000004,0.060493,0.0604905625,1.4840323013161356e-08,2.6104033070966892e-11
85,0.845,0.060488125000000004,0.060493,0.0604905625,1.401159836542482e-08,2.5702082081626718e-11
86,0.855,0.060488125000000004,0.060493,0.0604905625,1.3230731682578354e-08,2.58979850510556e-11
87,0.865,0.062340625000000004,0.0623455,0.062343062500000004,1.2500345007366429e-08,2.4280653824654572e-11
88,0.875,0.062340625000000004,0.0623455,0.062343062500000004,1.1818742917850019e-08,2.182058811175326e-11
89,0.885,0.06253075,0.062535625,0.0625331875,1.116556862432325e-08,2.6469639764063735e-11
90,0.895,0.062818375,0.06282325,0.06282081249999999,1.0558723199860684e-08,2.9986534934010246e-11
91,0.905,0.06383725,0.063842125,0.06383968749999999,9.986839217535551e-09,2.1305661470246567e-11
92,0.915,0.0647245,0.06472937499999999,0.0647269375,9.445924328200326e-09,1.9197430740630025e-11
93,0.925,0.06439299999999999,0.064397875,0.06439543749999999,8.93888331835235e-09,2.127045829685566e-11
94,0.935,0.0655435,0.065548375,0.06554593750000001,8.460077883824143e-09,2.161832623709636e-11
95,0.9450000000000001,0.0655435,0.065548375,0.06554593750000001,8.0137585359487e-09,2.1083822430733805e-11
96,0.9550000000000001,0.06733262500000001,0.0673375,0.0673350625,7.583698259644492e-09,1.8973875613164652e-11
97,0.965,0.06733262500000001,0.0673375,0.0673350625,7.182622770586614e-09,1.8860370699416777e-11
98,0.975,0.0669865,0.066991375,0.06698893750000001,6.802645604207487e-09,1.7892154401316874e-11
99,0.985,0.067313125,0.067318,0.06731556250000001,6.442940043286118e-09,1.533582535378877e-11
100,0.995,0.067903,0.067907875,0.0679054375,6.1041573951544266e-09,1.747960027599995e-11
101,1.0050000000000001,0.067903,0.067907875,0.0679054375,5.788569426824374e-09,1.7082202304392218e-11
102,1.0150000000000001,0.068371,0.068375875,0.0683734375,5.4878365055412185e-09,1.90746653421139e-11
103,1.025,0.068371,0.068375875,0.0683734375,5.200846619658946e-09,1.769282870854914e-11
104,1.035,0.067903,0.067907875,0.0679054375,4.9313217121412665e-09,1.5347357071284335e-11
105,1.045,0.072080875,0.07208575,0.0720833125,4.6737139976716545e-09,1.3591663196316375e-11
106,1.055,0.071934625,0.0719395,0.07193706250000001,4.4349832604478744e-09,2.1225425473354754e-11
107,1.065,0.071934625,0.0719395,0.07193706250000001,4.209949671772039e-09,2.0086156735547554e-11
108,1.075,0.071934625,0.0719395,0.07193706250000001,3.995627801925908e-09,1.9588274902714067e-11
109,1.085,0.071934625,0.0719395,0.07193706250000001,3.790755751573455e-09,1.8491987990163358e-11
110,1.095,0.071934625,0.0719395,0.07193706250000001,3.598828620782377e-09,1.731892128293166e-11
111,1.105,0.071934625,0.0719395,0.07193706250000001,3.4149985982295277e-09,1.5803338851928507e-11
112,1.115,0.071934625,0.0719395,0.07193706250000001,3.2428642095687896e-09,1.517320889085527e-11
113,1.125,0.075288625,0.0752935,0.0752910625,3.083179447847224e-09,1.4490686958857748e-11
114,1.135,0.075288625,0.0752935,0.0752910625,2.927398876583422e-09,1.4099742070512373e-11
115,1.145,0.075288625,0.0752935,0.0752910625,2.7807142181448653e-09,1.3697732910512083e-11
116,1.155,0.075288625,0.0752935,0.0752910625,2.641826342562456e-09,1.3027302881486686e-11
117,1.165,0.076526875,0.07653175,0.0765293125,2.512133076209401e-09,1.1138706041969941e-11
118,1.175,0.076526875,0.07653175,0.0765293125,2.386081994540372e-09,1.047953563282016e-11
119,1.185,0.076526875,0.07653175,0.0765293125,2.268024830038428e-09,1.0439539356160428e-11
120,1.195,0.076526875,0.07653175,0.0765293125,2.1589527678559214e-09,1.0508248251844176e-11
121,1.205,0.07787725,0.077882125,0.07787968749999999,2.0515448860608176e-09,1.3196478869454033e-11
122,1.215,0.07787725,0.077882125,0.07787968749999999,1.949522532492214e-09,1.2468023467724005e-11
123,1.225,0.07787725,0.077882125,0.07787968749999999,1.85330463120211e-09,1.1861949077337687e-11
124,1.235,0.07787725,0.077882125,0.07787968749999999,1.761983099940667e-09,1.171226491429134e-11
125,1.245,0.07787725,0.077882125,0.07787968749999999,1.675653503675958e-09,1.1745704750447138e-11
126,1.2550000000000001,0.07787725,0.077882125,0.07787968749999999,1.5956602646176416e-09,1.1633844005387996e-11
127,1.2650000000000001,0.079529875,0.07953475,0.07953231250000001,1.5168755582818242e-09,1.0248943948802202e-11
128,1.2750000000000001,0.07792112500000001,0.077926,0.0779235625,1.4440266515671065e-09,8.619250630069588e-12
129,1.285,0.07963225,0.079637125,0.0796346875,1.3750370961460892e-09,9.05313643294245e-12
130,1.295,0.07963225,0.079637125,0.0796346875,1.3083396469081169e-09,8.811980886316178e-12
131,1.305,0.08312275,0.083127625,0.0831251875,1.247039437264516e-09,7.831614197647203e-12
132,1.315,0.08312275,0.083127625,0.0831251875,1.190155849727883e-09,7.630487721950741e-12
133,1.325,0.08312275,0.083127625,0.0831251875,1.1319656104891318e-09,7.433564125345875e-12
134,1.335,0.081538375,0.08154325,0.0815408125,1.0767750643840452e-09,6.312853700045709e-12
135,1.345,0.0830935,0.083098375,0.0830959375,1.0258382787652808e-09,7.095753858748637e-12
136,1.355,0.08242075,0.082425625,0.0824231875,9.767986200764375e-10,8.94688630880824e-12
137,1.365,0.08242075,0.082425625,0.0824231875,9.325008755808776e-10,9.10582782824424e-12
138,1.375,0.08242075,0.082425625,0.0824231875,8.900549065035739e-10,9.137710077568618e-12
139,1.385,0.08234275,0.08234762500000001,0.0823451875,8.482878070649159e-10,5.286170268759997e-12
140,1.395,0.08234275,0.08234762500000001,0.0823451875,8.093296556959599e-10,5.1337704743855394e-12
141,1.405,0.08871925,0.088724125,0.08872168750000001,7.707561314061503e-10,6.28651267765371e-12
142,1.415,0.08871925,0.088724125,0.08872168750000001,7.371948204736256e-10,6.59924579608092e-12
143,1.425,0.088807,0.088811875,0.0888094375,7.020948678791562e-10,4.831130926548066e-12
144,1.435,0.088807,0.088811875,0.0888094375,6.696273245240302e-10,4.145352497691513e-12
145,1.445,0.088807,0.088811875,0.0888094375,6.391243694501818e-10,3.952336816829576e-12
146,1.455,0.088807,0.088811875,0.0888094375,6.099353597476676e-10,3.3402212811982247e-12
147,1.465,0.088807,0.088811875,0.0888094375,5.817318334818225e-10,3.141942188615869e-12
148,1.475,0.088807,0.088811875,0.0888094375,5.565365079678484e-10,3.075724748218232e-12
149,1.485,0.088807,0.088811875,0.0888094375,5.308253988481537e-10,2.9814330860226416e-12
150,1.495,0.088807,0.088811875,0.0888094375,5.057288448463606e-10,2.9604376152268975e-12
151,1.5050000000000001,0.090664375,0.09066925,0.0906668125,4.817068334911349e-10,3.603216574773869e-12
152,1.5150000000000001,0.090664375,0.09066925,0.0906668125,4.6033192578907767e-10,4.027292765569943e-12
153,1.5250000000000001,0.090664375,0.09066925,0.0906668125,4.395390754039938e-10,3.949692861429464e-12
154,1.5350000000000001,0.090635125,0.09064,0.09063756249999999,4.1895454432665e-10,3.859237149665666e-12
155,1.545,0.090664375,0.09066925,0.0906668125,4.0008907494848006e-10,3.649234613006518e-12
156,1.555,0.093842875,0.09384775,0.0938453125,3.8262087623193884e-10,5.192623396943946e-12
157,1.565,0.093842875,0.09384775,0.0938453125,3.6552570828564703e-10,5.0552598853370995e-12
158,1.575,0.093842875,0.09384775,0.0938453125,3.490378904827829e-10,4.813836760014219e-12
159,1.585,0.093842875,0.09384775,0.0938453125,3.345455340594608e-10,4.734344848805335e-12
160,1.595,0.093842875,0.09384775,0.0938453125,3.195422077622393e-10,4.539158973231268e-12
161,1.605,0.093842875,0.09384775,0.0938453125,3.0438068797721725e-10,4.525904613990443e-12
162,1.615,0.093842875,0.09384775,0.0938453125,2.9097258156794773e-10,4.352525380511268e-12
163,1.625,0.093842875,0.09384775,0.0938453125,2.787135871912626e-10,4.463801990644871e-12
164,1.635,0.09341875,0.093423625,0.0934211875,2.657308491502205e-10,3.6997233971508195e-12
165,1.645,0.096641125,0.096646,0.0966435625,2.5421790985483603e-10,2.38452245916276e-12
166,1.655,0.096641125,0.096646,0.0966435625,2.434106419284233e-10,2.332902899031514e-12
167,1.665,0.096641125,0.096646,0.0966435625,2.333518346572048e-10,2.3169771432286224e-12
168,1.675,0.096641125,0.096646,0.0966435625,2.2337415517518486e-10,2.467547149528532e-12
169,1.685,0.096641125,0.096646,0.0966435625,2.1368403795817754e-10,2.4735074929699747e-12
170,1.695,0.096641125,0.096646,0.0966435625,2.0422038176627347e-10,2.5232334304861105e-12
171,1.705,0.096641125,0.096646,0.0966435625,1.95765835645351e-10,2.64618659533469e-12
172,1.715,0.0993175,0.099322375,0.09931993750000001,1.8806031637836572e-10,2.346138049020146e-12
173,1.725,0.0993175,0.099322375,0.09931993750000001,1.8050762012064972e-10,2.390117476939514e-12
174,1.735,0.0993175,0.099322375,0.09931993750000001,1.7275783376641607e-10,2.3879392135291476e-12
175,1.745,0.0993175,0.099322375,0.09931993750000001,1.6539236528880365e-10,2.3671834178641826e-12
176,1.7550000000000001,0.0993175,0.099322375,0.09931993750000001,1.584293159716939e-10,2.468677727486204e-12
177,1.7650000000000001,0.0993175,0.099322375,0.09931993750000001,1.5135650426691524e-10,2.4608009498319655e-12
178,1.7750000000000001,0.0993175,0.099322375,0.09931993750000001,1.4464091313418719e-10,2.4063552799652566e-12
179,1.7850000000000001,0.098474125,0.098479,0.0984765625,1.379922950116088e-10,2.5420931180095773e-12
180,1.795,0.098474125,0.098479,0.0984765625,1.32025197592576e-10,2.4918767438526367e-12
181,1.805,0.096641125,0.096646,0.0966435625,1.2668217185571187e-10,2.2998407515522457e-12
182,1.815,0.096641125,0.096646,0.0966435625,1.2072712283430826e-10,2.194945673449735e-12
183,1.825,0.098474125,0.098479,0.0984765625,1.1542091394579149e-10,2.435050605971039e-12
184,1.835,0.098474125,0.098479,0.0984765625,1.1063093612452004e-10,2.269299738032214e-12
185,1.845,0.098474125,0.098479,0.0984765625,1.0623076144598023e-10,2.259702600045697e-12
186,1.855,0.099205375,0.09921025,0.09920781249999999,1.0160410855674796e-10,2.6559049348688217e-12
187,1.865,0.099205375,0.09921025,0.09920781249999999,9.700410964586715e-11,2.4831305490248628e-12
188,1.875,0.099205375,0.09921025,0.09920781249999999,9.267094353690862e-11,2.4805888086580455e-12
189,1.885,0.09883,0.098834875,0.09883243750000001,8.838300149912157e-11,1.8539510228344322e-12
190,1.895,0.09883,0.098834875,0.09883243750000001,8.497483574118094e-11,1.900707220736441e-12
191,1.905,0.09883,0.098834875,0.09883243750000001,8.147507519383677e-11,1.8310939365601385e-12
192,1.915,0.09883,0.098834875,0.09883243750000001,7.827257832782593e-11,1.757480634220479e-12
193,1.925,0.09883,0.098834875,0.09883243750000001,7.486068693377681e-11,1.7089616357927184e-12
194,1.935,0.09883,0.098834875,0.09883243750000001,7.2191007064681e-11,1.8315607170571718e-12
195,1.945,0.09883,0.098834875,0.09883243750000001,6.889868446482469e-11,1.8997055545181127e-12
196,1.955,0.09883,0.098834875,0.09883243750000001,6.615628083589634e-11,1.8137665877460157e-12
197,1.965,0.09883,0.098834875,0.09883243750000001,6.306385437925356e-11,1.7367700120376514e-12
198,1.975,0.09883,0.098834875,0.09883243750000001,6.04641828188058e-11,1.6553916549836402e-12
199,1.985,0.09883,0.098834875,0.09883243750000001,5.798147512421134e-11,1.6034100631372903e-12
200,1.995,0.09883,0.098834875,0.09883243750000001,5.5647006813744414e-11,1.6608666418562064e-12
