Depth_cm,Unreacted_Fraction
9.000000000000000222e-01,3.629562045413203819e-03
9.124999999999999778e-01,3.409758639144166992e-03
9.250000000000000444e-01,3.203885632775738124e-03
9.375000000000000000e-01,3.010981438584359182e-03
9.499999999999999556e-01,2.830121456097178800e-03
9.625000000000000222e-01,2.660495756122149835e-03
9.749999999999999778e-01,2.501344624842416486e-03
9.875000000000000444e-01,2.352090203977641458e-03
1.000000000000000000e+00,2.212162967049735585e-03
1.012499999999999956e+00,2.080774225700299240e-03
1.024999999999999911e+00,1.957482575900448829e-03
1.037500000000000089e+00,1.841817173833804056e-03
1.050000000000000044e+00,1.733294604408741613e-03
1.062500000000000000e+00,1.631397066390594119e-03
1.074999999999999956e+00,1.535735633726775795e-03
1.087499999999999911e+00,1.445783868169292496e-03
1.100000000000000089e+00,1.361186855621032699e-03
1.112500000000000044e+00,1.281694274937739131e-03
1.125000000000000000e+00,1.206918032855330836e-03
1.137499999999999956e+00,1.136632675677762272e-03
1.149999999999999911e+00,1.070501908895127308e-03
1.162500000000000089e+00,1.008345718312320116e-03
1.175000000000000044e+00,9.498483777210520174e-04
1.187500000000000000e+00,8.947648546575592832e-04
1.199999999999999956e+00,8.428762645090737138e-04
1.212500000000000133e+00,7.940342695529345463e-04
1.225000000000000089e+00,7.480188245615471132e-04
1.237500000000000044e+00,7.047128033037530770e-04
1.250000000000000000e+00,6.640130462148841062e-04
1.262499999999999956e+00,6.257161570283331642e-04
1.275000000000000133e+00,5.896225747551442353e-04
1.287500000000000089e+00,5.555642619258227555e-04
1.300000000000000044e+00,5.234025784971452211e-04
1.312500000000000000e+00,4.930781753256230360e-04
1.324999999999999956e+00,4.644970299391149027e-04
1.337500000000000133e+00,4.375445281092904537e-04
1.350000000000000089e+00,4.121440027454736921e-04
1.362500000000000044e+00,3.882024689808583062e-04
1.375000000000000000e+00,3.656338300177530698e-04
1.387499999999999956e+00,3.443502707261014706e-04
1.400000000000000133e+00,3.242885739435097392e-04
1.412500000000000089e+00,3.053380439257402656e-04
1.425000000000000044e+00,2.874140550919168646e-04
1.437500000000000000e+00,2.704904982887557097e-04
1.449999999999999956e+00,2.545009876465664789e-04
1.462500000000000133e+00,2.393917764399455805e-04
1.475000000000000089e+00,2.251194228694020083e-04
1.487500000000000044e+00,2.116550815154383258e-04
1.500000000000000000e+00,1.989375577489127522e-04
1.512499999999999956e+00,1.869473109052943727e-04
1.525000000000000133e+00,1.756148386848899179e-04
1.537500000000000089e+00,1.648834968744905538e-04
1.550000000000000044e+00,1.547551672534952516e-04
1.562500000000000000e+00,1.451848357775231690e-04
1.574999999999999956e+00,1.361374668296111423e-04
1.587500000000000133e+00,1.275762228821752942e-04
1.600000000000000089e+00,1.194692803255792413e-04
1.612500000000000044e+00,1.117954554789024613e-04
1.625000000000000000e+00,1.045395901175805164e-04
1.637499999999999956e+00,9.768047878155883268e-05
1.650000000000000133e+00,9.116037357403961039e-05
1.662500000000000089e+00,8.495721328016792029e-05
1.675000000000000044e+00,7.909749812040622885e-05
1.687500000000000000e+00,7.356558460780426856e-05
1.699999999999999956e+00,6.834617792894626120e-05
1.712500000000000133e+00,6.341359537986868133e-05
1.725000000000000089e+00,5.874680853623637233e-05
1.737500000000000044e+00,5.434867359155326483e-05
1.750000000000000000e+00,5.019181169529929321e-05
1.762499999999999956e+00,4.624586500101557363e-05
1.775000000000000133e+00,4.250235182134964873e-05
1.787500000000000089e+00,3.894786226221746972e-05
1.800000000000000044e+00,3.558389914048998293e-05
1.812500000000000000e+00,3.240007353244589439e-05
1.824999999999999956e+00,2.937647495748763049e-05
1.837500000000000133e+00,2.651887694915533444e-05
1.850000000000000089e+00,2.380427831305542696e-05
1.862500000000000044e+00,2.122173931040638450e-05
1.875000000000000000e+00,1.876200702444208446e-05
1.887499999999999956e+00,1.642498778742229604e-05
1.900000000000000133e+00,1.420801995122289441e-05
1.912500000000000089e+00,1.210064267775923241e-05
1.925000000000000044e+00,1.009951692509947208e-05
1.937500000000000000e+00,8.193854664551025735e-06
1.949999999999999956e+00,6.382450903119618602e-06
1.962500000000000133e+00,4.666842042033714222e-06
1.975000000000000089e+00,3.035113833038671771e-06
1.987500000000000044e+00,1.480464006720083603e-06
2.000000000000000000e+00,0.000000000000000000e+00
