mesh 1_x,mesh 1_y,mesh 1_z,energy low [eV],energy high [eV],nuclide,score,mean,std. dev.,z mid [cm],energy mid [eV]
1,1,44,0.00861325,0.008618125,total,"(n,p)",7.167989553258103e-07,2.3001333637483057e-09,0.435,0.0086156875
1,1,45,0.008949625,0.0089545,total,"(n,p)",7.065711881969991e-07,2.7915365358841573e-09,0.445,0.0089520625
1,1,46,0.008949625,0.0089545,total,"(n,p)",6.959154442132375e-07,2.7704043737393573e-09,0.455,0.0089520625
1,1,47,0.008949625,0.0089545,total,"(n,p)",6.854025138346299e-07,2.7896072553532877e-09,0.465,0.0089520625
1,1,48,0.008949625,0.0089545,total,"(n,p)",6.753393236648107e-07,2.7255964000731127e-09,0.475,0.0089520625
1,1,49,0.008949625,0.0089545,total,"(n,p)",6.650663928886347e-07,2.614501457666087e-09,0.485,0.0089520625
1,1,50,0.009719875,0.00972475,total,"(n,p)",6.553970328653512e-07,3.445414091790814e-09,0.495,0.0097223125
1,1,51,0.009719875,0.00972475,total,"(n,p)",6.471718374156763e-07,3.4653466686212153e-09,0.505,0.0097223125
1,1,52,0.009719875,0.00972475,total,"(n,p)",6.38384254294345e-07,3.3117334052475266e-09,0.515,0.0097223125
1,1,53,0.009719875,0.00972475,total,"(n,p)",6.289501166278296e-07,3.1727333319908358e-09,0.525,0.0097223125
1,1,54,0.009719875,0.00972475,total,"(n,p)",6.194351521490157e-07,3.1042700017128165e-09,0.535,0.0097223125
1,1,55,0.009719875,0.00972475,total,"(n,p)",6.103715474519013e-07,3.1102461928693012e-09,0.545,0.0097223125
1,1,56,0.009719875,0.00972475,total,"(n,p)",6.019991192417691e-07,3.112091013422283e-09,0.555,0.0097223125
1,1,57,0.009719875,0.00972475,total,"(n,p)",5.941042658517603e-07,3.156383687068631e-09,0.565,0.0097223125
1,1,58,0.009719875,0.00972475,total,"(n,p)",5.854361924783404e-07,3.2552434174703576e-09,0.575,0.0097223125
1,1,59,0.009719875,0.00972475,total,"(n,p)",5.772759984681716e-07,3.2707430387196097e-09,0.585,0.0097223125
1,1,60,0.0102805,0.010285375,total,"(n,p)",5.692505368950988e-07,1.67080164803622e-09,0.595,0.010282937499999999
1,1,61,0.0102805,0.010285375,total,"(n,p)",5.614930255218059e-07,1.6495682429741822e-09,0.605,0.010282937499999999
1,1,62,0.0102805,0.010285375,total,"(n,p)",5.541370756697981e-07,1.6488955756538544e-09,0.615,0.010282937499999999
1,1,63,0.0102805,0.010285375,total,"(n,p)",5.471945574458623e-07,1.5841357718608493e-09,0.625,0.010282937499999999
1,1,64,0.0102805,0.010285375,total,"(n,p)",5.399546268996617e-07,1.5991014749163235e-09,0.635,0.010282937499999999
1,1,65,0.0102805,0.010285375,total,"(n,p)",5.321624977552429e-07,1.6205644337283505e-09,0.645,0.010282937499999999
1,1,66,0.0102805,0.010285375,total,"(n,p)",5.246105501137662e-07,1.6616196009211636e-09,0.655,0.010282937499999999
1,1,67,0.01177225,0.011777125000000001,total,"(n,p)",5.175234875325292e-07,2.5781153950829104e-09,0.665,0.0117746875
1,1,68,0.01177225,0.011777125000000001,total,"(n,p)",5.108897939159217e-07,2.5697762886316952e-09,0.675,0.0117746875
1,1,69,0.01177225,0.011777125000000001,total,"(n,p)",5.047187704755617e-07,2.5043167619781916e-09,0.685,0.0117746875
1,1,70,0.01177225,0.011777125000000001,total,"(n,p)",4.987235272617034e-07,2.484941988574839e-09,0.695,0.0117746875
1,1,71,0.01177225,0.011777125000000001,total,"(n,p)",4.922530355947043e-07,2.4513601901437995e-09,0.705,0.0117746875
1,1,72,0.01177225,0.011777125000000001,total,"(n,p)",4.861398091932613e-07,2.4459613760842035e-09,0.715,0.0117746875
1,1,73,0.01177225,0.011777125000000001,total,"(n,p)",4.796210773522407e-07,2.420529255004921e-09,0.725,0.0117746875
1,1,74,0.01177225,0.011777125000000001,total,"(n,p)",4.7361247225971077e-07,2.3764833946743936e-09,0.735,0.0117746875
1,1,75,0.01177225,0.011777125000000001,total,"(n,p)",4.6745650467354414e-07,2.3011032460695943e-09,0.745,0.0117746875
1,1,76,0.01177225,0.011777125000000001,total,"(n,p)",4.614072123021788e-07,2.253277404875918e-09,0.755,0.0117746875
1,1,77,0.01177225,0.011777125000000001,total,"(n,p)",4.553249466356884e-07,2.2167974999965164e-09,0.765,0.0117746875
1,1,78,0.01177225,0.011777125000000001,total,"(n,p)",4.4907768125319355e-07,2.276351767902437e-09,0.775,0.0117746875
1,1,79,0.01177225,0.011777125000000001,total,"(n,p)",4.4342931742988654e-07,2.2375477355634187e-09,0.785,0.0117746875
1,1,80,0.01177225,0.011777125000000001,total,"(n,p)",4.3796784513679997e-07,2.1740904254706344e-09,0.795,0.0117746875
1,1,81,0.012835000000000001,0.012839875,total,"(n,p)",4.3226426995812313e-07,2.552036348565931e-09,0.805,0.0128374375
1,1,82,0.01177225,0.011777125000000001,total,"(n,p)",4.2668307762726585e-07,2.108974722940651e-09,0.815,0.0117746875
1,1,83,0.01177225,0.011777125000000001,total,"(n,p)",4.215007413839984e-07,2.0853486174643813e-09,0.825,0.0117746875
1,1,84,0.013493125,0.013498,total,"(n,p)",4.162827270611703e-07,1.7819976411280379e-09,0.835,0.013495562499999999
1,1,85,0.013493125,0.013498,total,"(n,p)",4.1132585347333324e-07,1.7211454206876463e-09,0.845,0.013495562499999999
1,1,86,0.013493125,0.013498,total,"(n,p)",4.0643639315256866e-07,1.667334266725515e-09,0.855,0.013495562499999999
1,1,87,0.013493125,0.013498,total,"(n,p)",4.014732201815699e-07,1.68813417363785e-09,0.865,0.013495562499999999
1,1,88,0.01366375,0.013668625,total,"(n,p)",3.966527250404763e-07,1.4924205111016308e-09,0.875,0.0136661875
1,1,89,0.01366375,0.013668625,total,"(n,p)",3.921359865506048e-07,1.4890821409510255e-09,0.885,0.0136661875
1,1,90,0.01366375,0.013668625,total,"(n,p)",3.8745812541213143e-07,1.4865415128694372e-09,0.895,0.0136661875
1,1,91,0.01366375,0.013668625,total,"(n,p)",3.8275315673463784e-07,1.4869242056985783e-09,0.905,0.0136661875
1,1,92,0.01366375,0.013668625,total,"(n,p)",3.781285563008972e-07,1.5401124776548545e-09,0.915,0.0136661875
1,1,93,0.01366375,0.013668625,total,"(n,p)",3.7371854744038065e-07,1.5587986485480354e-09,0.925,0.0136661875
1,1,94,0.01366375,0.013668625,total,"(n,p)",3.6929787409719377e-07,1.5228083494937865e-09,0.935,0.0136661875
1,1,95,0.01366375,0.013668625,total,"(n,p)",3.65228248121424e-07,1.5034145639404311e-09,0.945,0.0136661875
1,1,96,0.01366375,0.013668625,total,"(n,p)",3.609003414235417e-07,1.5057872369704036e-09,0.955,0.0136661875
1,1,97,0.01366375,0.013668625,total,"(n,p)",3.566924400353256e-07,1.4836136642607604e-09,0.965,0.0136661875
1,1,98,0.01366375,0.013668625,total,"(n,p)",3.5263956606238083e-07,1.481342898908222e-09,0.975,0.0136661875
1,1,99,0.01366375,0.013668625,total,"(n,p)",3.4840439745927094e-07,1.5191231651653269e-09,0.985,0.0136661875
1,1,100,0.01366375,0.013668625,total,"(n,p)",3.443884170902471e-07,1.5898825297451368e-09,0.995,0.0136661875
1,1,101,0.01366375,0.013668625,total,"(n,p)",3.405395754510972e-07,1.595167508516633e-09,1.005,0.0136661875
1,1,102,0.01366375,0.013668625,total,"(n,p)",3.3669265330635574e-07,1.550014575327878e-09,1.015,0.0136661875
1,1,103,0.01366375,0.013668625,total,"(n,p)",3.3264958879089604e-07,1.509148741718592e-09,1.025,0.0136661875
