mesh 1_z,z mid [cm],"(n,p) [rxns]",flux*V [trks-cm],"(n,p) sd",flux*V sd,"(n,p) macro-xs [1/cm]","(n,p) micro-xs [b]","(n,p) mode [eV]",flux mode [eV]
1,0.005,0.009914319789112759,0.009952563249858232,2.1972217916231674e-07,3.346703445539147e-08,0.9961574260031939,5984.442282165424,0.0025170625,0.013047062500000001
2,0.015,0.009765521889344144,0.009854311641385602,2.122516169714982e-07,5.1964343903421236e-08,0.9909897560303895,5953.397367096521,0.0025170625,0.013047062500000001
3,0.025,0.00962188532528644,0.009757476046857037,2.018633917764247e-07,6.481554816688819e-08,0.9861039144836773,5924.045543807485,0.0025170625,0.013047062500000001
4,0.035,0.009482880517005443,0.009662027892151122,2.101595826086195e-07,7.081015978811924e-08,0.9814586154019274,5896.138785786651,0.0025414375000000003,0.013047062500000001
5,0.045,0.009348062903184,0.00956792918862997,2.2050828242995905e-07,7.564031224783787e-08,0.9770204940785674,5869.476653670185,0.0025414375000000003,0.013047062500000001
6,0.055,0.009216965603542156,0.009475136306301086,2.3674455980235705e-07,9.013470545202971e-08,0.97275282440135,5843.838514360092,0.0026243125,0.013047062500000001
7,0.065,0.009089389703170834,0.009383626756438989,2.3112078342155303e-07,9.134680319501517e-08,0.9686435681101392,5819.152047687807,0.0026243125,0.013047062500000001
8,0.075,0.008965067152258198,0.009293353819304576,2.3304076217232386e-07,8.991029782700158e-08,0.9646751136963658,5795.311452046295,0.0030435625000000003,0.013047062500000001
9,0.085,0.008843916458519268,0.009204323025792684,2.284180099566005e-07,9.595830526374977e-08,0.9608437724030902,5772.294567129943,0.0030581875,0.013047062500000001
10,0.095,0.008725498333117431,0.009116454809844037,2.2620514943124418e-07,8.905657986360708e-08,0.9571152948288136,5749.895638746574,0.0030630625,0.0142999375
11,0.105,0.008609928825029712,0.009029801190872783,2.2761771816328702e-07,8.422191281214734e-08,0.9535014828158705,5728.185566778508,0.0030630625,0.0151579375
12,0.115,0.0084969923604829,0.008944309491371295,2.254553055464087e-07,8.712045826982156e-08,0.9499886345256805,5707.0820370653455,0.0038966875,0.0151579375
13,0.125,0.00838649311366179,0.008859924370574073,2.1966514447918165e-07,8.673798596903111e-08,0.9465648647651371,5686.513648992786,0.0038966875,0.0151579375
14,0.135,0.008278357147394754,0.00877661955446045,2.1346008639730816e-07,9.141512992030306e-08,0.9432284373301258,5666.469972268346,0.0038966875,0.0151579375
15,0.145,0.00817257735752761,0.00869444011782686,2.055133776892172e-07,1.0193138986317758e-07,0.9399774162307202,5646.939376380951,0.0038966875,0.0151579375
16,0.155,0.008068879239518904,0.008613243304071426,2.1547919327084655e-07,1.0981889665986294e-07,0.9367991771119244,5627.846020181554,0.0045499375,0.014855687499999999
17,0.165,0.007967282309653843,0.008533069246139582,2.0662104503526477e-07,1.1475208175273004e-07,0.9336947913856782,5609.196340205934,0.0044865625,0.014855687499999999
18,0.175,0.00786770394355512,0.008453901586998385,2.0236631188954245e-07,1.1501306743906011e-07,0.930659514141399,5590.961831277321,0.0050276875,0.014855687499999999
19,0.185,0.007770071435468976,0.008375772396649364,1.97330100950175e-07,1.2011017662452958e-07,0.9276841666062114,5573.0873516730735,0.0050276875,0.014855687499999999
20,0.195,0.0076743335950916125,0.008298568239130498,1.8569949763615163e-07,1.2570653587447749e-07,0.9247780308541163,5555.6286637000985,0.0050276875,0.0159428125
21,0.205,0.0075803567307897776,0.008222292202049087,1.735447239672836e-07,1.1567331480590184e-07,0.9219274314893198,5538.503612053747,0.0050276875,0.0159428125
22,0.215,0.007488110500770916,0.008146955439407211,1.8696267084284437e-07,1.1759732500015628e-07,0.9191299199392413,5521.6974868689895,0.0050276875,0.0159428125
23,0.225,0.0073975686190338626,0.008072515348666596,2.1337359186812983e-07,1.337613567572887e-07,0.9163895390122461,5505.234575424812,0.0050276875,0.0159428125
24,0.235,0.007308697990354919,0.007999004209820528,2.018703662238302e-07,1.4022319747808877e-07,0.9137009806022971,5489.0829891327485,0.0050276875,0.0159428125
25,0.245,0.007221318911770429,0.007926321075509663,1.995214549216023e-07,1.4406184606295001e-07,0.9110555632274961,5473.190573758954,0.0050276875,0.0159428125
26,0.255,0.007135468026361096,0.007854494181687795,1.998067955304912e-07,1.4656209340199893e-07,0.9084567206118686,5457.577957492009,0.0050276875,0.0159428125
27,0.265,0.007051187204002143,0.007783577576138917,2.0666307243695306e-07,1.51526719641792e-07,0.9059056886152241,5442.252564792656,0.0063878125,0.0159428125
28,0.275,0.006968328814489469,0.007713476752702492,2.0928905392671474e-07,1.555803823417112e-07,0.9033966183988364,5427.179258606386,0.0063878125,0.0159428125
29,0.285,0.006886852293498673,0.007644192739777318,1.935595451830415e-07,1.5441926095526e-07,0.9009260399286182,5412.337192610951,0.0067193125000000005,0.0159428125
30,0.295,0.006806774858546974,0.007575685896264858,1.890552881878244e-07,1.5005081205449424e-07,0.8985027826857248,5397.779410149679,0.0067193125000000005,0.0159428125
31,0.305,0.006728037826315448,0.00750798344165021,1.8377127039247778e-07,1.4819735340476245e-07,0.8961178295881624,5383.451740862207,0.0067193125000000005,0.0159428125
32,0.315,0.006650579470017388,0.007441051029260154,1.7793517452537214e-07,1.498609681433961e-07,0.8937688296808575,5369.340061323281,0.0067193125000000005,0.017161562499999998
33,0.325,0.006574418873509897,0.007374913075525652,1.7437478108030372e-07,1.4762406222853392e-07,0.8914571339596841,5355.452487676616,0.0067193125000000005,0.0182535625
34,0.335,0.006499446022557663,0.007309508805379147,1.789342155997625e-07,1.5727756115467405e-07,0.8891768510867173,5341.753627552639,0.0067193125000000005,0.0182535625
35,0.345,0.006425672895531876,0.007244854332358908,1.8079814208525647e-07,1.6198726395611598e-07,0.8869292053025574,5328.250835609375,0.0067193125000000005,0.0182535625
36,0.355,0.006353121467800324,0.007180949044415678,1.868298651476641e-07,1.681526094588348e-07,0.8847189178623792,5314.972474913102,0.0067193125000000005,0.0182535625
37,0.365,0.0062817445666509255,0.0071177553058141526,1.9087031799209809e-07,1.6988269901655175e-07,0.8825457320118423,5301.9170030052765,0.0067193125000000005,0.0182535625
38,0.375,0.006211471031723207,0.007055272406776434,1.9115819605473074e-07,1.6977924318449096e-07,0.880401304669289,5289.034298600515,0.0077479375000000005,0.0182535625
39,0.385,0.006142259841149264,0.006993474879369886,1.8686635343870564e-07,1.6739617132670983e-07,0.8782843932518254,5276.316896848969,0.0077479375000000005,0.0182535625
40,0.395,0.006074118938033827,0.006932364091301178,1.8246955223186816e-07,1.60865464417741e-07,0.8761973344209821,5263.778835307053,0.0086156875,0.0182535625
41,0.405,0.006007034060038705,0.00687196813647678,1.8284172743430612e-07,1.5545462072818717e-07,0.8741359012060959,5251.394720335865,0.0086156875,0.0182535625
42,0.415,0.005940887035632536,0.006812160728630446,1.864713480268539e-07,1.6156814913503356e-07,0.8721002442975129,5239.165457211679,0.0086156875,0.0182535625
43,0.425,0.005875752700040346,0.00675304830129722,1.9106909035419208e-07,1.6647337426699065e-07,0.8700889491508078,5227.082548021161,0.0086156875,0.0182535625
44,0.435,0.00581166462705554,0.006694617115582876,1.9530306372843992e-07,1.708764596671425e-07,0.8681100840745453,5215.1944633430185,0.0086156875,0.0182535625
45,0.445,0.005748513906966925,0.006636816815976151,1.9236145054700586e-07,1.700526884816672e-07,0.8661552768985725,5203.450907141959,0.0089520625,0.0182535625
46,0.455,0.005686279223695064,0.006579624303768545,1.9182132267051002e-07,1.663097623772821e-07,0.8642255182318224,5191.857830527542,0.0089520625,0.0182535625
47,0.465,0.005624972913862544,0.00652307064729187,1.9200504572192203e-07,1.6392177739931313e-07,0.8623197904805489,5180.409120278225,0.0089520625,0.0182535625
48,0.475,0.005564542060983581,0.006467116732457565,1.9355514206249258e-07,1.6955448933033902e-07,0.8604363105208713,5169.094064229775,0.0089520625,0.0182535625
49,0.485,0.005504986027243324,0.006411761150819691,1.9769329360041337e-07,1.690482348690412e-07,0.858576278459711,5157.919872056504,0.0089520625,0.0182535625
50,0.495,0.0054462637420215594,0.006356967973438986,1.9162058410588626e-07,1.6785133985067357e-07,0.8567392135334677,5146.883655558271,0.0097223125,0.0182535625
51,0.505,0.005388407812503232,0.00630279652876975,1.9029308101584243e-07,1.6539012824834714e-07,0.8549233325091967,5135.974701915642,0.0097223125,0.0182535625
52,0.515,0.0053313523859349135,0.006249183337062236,1.9606003859474215e-07,1.679069748092569e-07,0.8531278566138535,5125.1883326288,0.0097223125,0.0182535625
53,0.525,0.005275107612093492,0.006196148650494746,2.0294745087240893e-07,1.664955026332585e-07,0.851352656245955,5114.523769113381,0.0097223125,0.0182535625
54,0.535,0.005219622936507756,0.006143644839626044,1.9759055085461299e-07,1.5889567836100827e-07,0.8495971158426319,5103.977313359044,0.0097223125,0.0182535625
55,0.545,0.00516493137645945,0.006091736736367302,1.899036489591776e-07,1.5499168877805193e-07,0.8478585992768073,5093.533128762128,0.0097223125,0.0182535625
56,0.555,0.005110971450049787,0.0060403173129690005,1.9770521187460205e-07,1.5824864203504962e-07,0.8461428738315054,5083.225862429087,0.0097223125,0.0188483125
57,0.565,0.005057782745935985,0.0059894743445105285,1.9660650444555416e-07,1.5452991426814382e-07,0.8444451808315271,5073.026926491853,0.0097223125,0.0188483125
58,0.575,0.0050053479768286495,0.005939183268825547,1.9688652321631956e-07,1.5940651137830942e-07,0.8427670523490076,5062.945524914606,0.0097223125,0.0206666875
59,0.585,0.004953568102216273,0.005889371541017621,1.8787424734359823e-07,1.5057675362647993e-07,0.8411030052555232,5052.948717657224,0.0097223125,0.0206666875
60,0.595,0.004902501571792217,0.005840083994761324,1.7914463879912682e-07,1.4531863425913089e-07,0.8394573735908357,5043.062541579073,0.010282937499999999,0.0206666875
61,0.605,0.004852120082127631,0.005791274045778881,1.8126920910913434e-07,1.431458875681873e-07,0.8378329265326726,5033.30363258914,0.010282937499999999,0.0206666875
62,0.615,0.004802421683152827,0.005742996014696063,1.78216736453899e-07,1.379368350694607e-07,0.8362223603958022,5023.6281136037705,0.010282937499999999,0.0206666875
