mesh 1_x,mesh 1_y,mesh 1_z,energy low [eV],energy high [eV],nuclide,score,mean,std. dev.,z mid [cm],energy mid [eV]
1,1,1,0.013044625,0.0130495,total,flux,9.356835930269098e-07,2.8820094298381383e-09,0.005,0.013047062500000001
1,1,2,0.013044625,0.0130495,total,flux,9.240135060593322e-07,2.8566683966026035e-09,0.015,0.013047062500000001
1,1,3,0.013044625,0.0130495,total,flux,9.124636003411387e-07,2.8309893124960315e-09,0.025,0.013047062500000001
1,1,4,0.013044625,0.0130495,total,flux,9.01227638784947e-07,2.907588428787979e-09,0.035,0.013047062500000001
1,1,5,0.013044625,0.0130495,total,flux,8.905578548242212e-07,2.808628694263918e-09,0.045,0.013047062500000001
1,1,6,0.013044625,0.0130495,total,flux,8.795597546771858e-07,2.7170838310112285e-09,0.055,0.013047062500000001
1,1,7,0.013044625,0.0130495,total,flux,8.689260572011329e-07,2.6619139250185292e-09,0.065,0.013047062500000001
1,1,8,0.013044625,0.0130495,total,flux,8.583851952113947e-07,2.654885390553134e-09,0.075,0.013047062500000001
1,1,9,0.013044625,0.0130495,total,flux,8.478996653121482e-07,2.6632211811076413e-09,0.085,0.013047062500000001
1,1,10,0.0142975,0.014302375,total,flux,8.38212357008288e-07,3.1882393292831072e-09,0.095,0.0142999375
1,1,11,0.0151555,0.015160375,total,flux,8.291728886728747e-07,2.4682017945143296e-09,0.105,0.0151579375
1,1,12,0.0151555,0.015160375,total,flux,8.199351669241508e-07,2.4592181912986596e-09,0.115,0.0151579375
1,1,13,0.0151555,0.015160375,total,flux,8.10411957637759e-07,2.358224505749235e-09,0.125,0.0151579375
1,1,14,0.0151555,0.015160375,total,flux,8.009137933250281e-07,2.340920195497676e-09,0.135,0.0151579375
1,1,15,0.0151555,0.015160375,total,flux,7.916867516685575e-07,2.3201930168619744e-09,0.145,0.0151579375
1,1,16,0.01485325,0.014858125,total,flux,7.827757022345075e-07,2.4820972892265163e-09,0.155,0.014855687499999999
1,1,17,0.01485325,0.014858125,total,flux,7.738752748387553e-07,2.5022408518781476e-09,0.165,0.014855687499999999
1,1,18,0.01485325,0.014858125,total,flux,7.647946751169492e-07,2.4591083596213026e-09,0.175,0.014855687499999999
1,1,19,0.01485325,0.014858125,total,flux,7.557293173725505e-07,2.48491661878942e-09,0.185,0.014855687499999999
1,1,20,0.015940375,0.01594525,total,flux,7.471961803023488e-07,2.979158341439753e-09,0.195,0.0159428125
1,1,21,0.015940375,0.01594525,total,flux,7.395960846120634e-07,2.955262970185382e-09,0.205,0.0159428125
1,1,22,0.015940375,0.01594525,total,flux,7.315949838520977e-07,2.8437543499976396e-09,0.215,0.0159428125
1,1,23,0.015940375,0.01594525,total,flux,7.23374591065032e-07,2.878955697551331e-09,0.225,0.0159428125
1,1,24,0.015940375,0.01594525,total,flux,7.154476458313852e-07,2.8694012348744686e-09,0.235,0.0159428125
1,1,25,0.015940375,0.01594525,total,flux,7.07685422818649e-07,2.9045152521097568e-09,0.245,0.0159428125
1,1,26,0.015940375,0.01594525,total,flux,6.996530233456424e-07,2.888500761128177e-09,0.255,0.0159428125
1,1,27,0.015940375,0.01594525,total,flux,6.925064514861837e-07,2.956013930494478e-09,0.265,0.0159428125
1,1,28,0.015940375,0.01594525,total,flux,6.849103734114576e-07,2.9377854370807233e-09,0.275,0.0159428125
1,1,29,0.015940375,0.01594525,total,flux,6.773434609168935e-07,2.941946303288449e-09,0.285,0.0159428125
1,1,30,0.015940375,0.01594525,total,flux,6.698523507057571e-07,2.873735197892374e-09,0.295,0.0159428125
1,1,31,0.015940375,0.01594525,total,flux,6.62534630002782e-07,2.849412024021851e-09,0.305,0.0159428125
1,1,32,0.017159125,0.017164,total,flux,6.554381492117038e-07,2.3768447551845147e-09,0.315,0.017161562499999998
1,1,33,0.018251125,0.018255999999999998,total,flux,6.487179235301206e-07,2.932099147233433e-09,0.325,0.0182535625
1,1,34,0.018251125,0.018255999999999998,total,flux,6.423366652323033e-07,2.8878813815202203e-09,0.335,0.0182535625
1,1,35,0.018251125,0.018255999999999998,total,flux,6.357694676363358e-07,2.9219820597549402e-09,0.345,0.0182535625
1,1,36,0.018251125,0.018255999999999998,total,flux,6.300112024074274e-07,3.056035627697362e-09,0.355,0.0182535625
1,1,37,0.018251125,0.018255999999999998,total,flux,6.235838236925281e-07,2.9805918490441516e-09,0.365,0.0182535625
