mesh 2_z,z mid [cm],"(n,p) [rxns]",flux*V [trks-cm],"(n,p) sd",flux*V sd,"(n,p) macro-xs [1/cm]","(n,p) micro-xs [b]","(n,p) mode [eV]",flux mode [eV]
1,0.005,0.048132745450579925,0.009758888007431304,1.0292495713270851e-06,5.314774890575437e-08,4.932195698313914,5926.059418003992,0.0025170625,0.013047062500000001
2,0.015,0.04484088846012342,0.009294601329199223,1.1424042604251814e-06,8.646950313134863e-08,4.824401485543511,5796.544096863603,0.0026243125,0.013047062500000001
3,0.025,0.041944426535207385,0.008861049874079738,1.0803906782880818e-06,8.531050094564024e-08,4.733573011241347,5687.413200912884,0.0038966875,0.0151579375
4,0.035,0.03934835006269287,0.008454944051179159,9.705858744232267e-07,1.0942094078324622e-07,4.65388651001247,5591.669444991641,0.0050276875,0.014855687499999999
5,0.045,0.03699622429456298,0.00807347750750696,9.451695622367124e-07,1.2325461775562924e-07,4.5824397553796095,5505.8257885198145,0.0050276875,0.0159428125
6,0.055,0.03484878538089141,0.007714340211684021,9.809661828404578e-07,1.4834003403978425e-07,4.517403228873673,5427.684055306242,0.0063878125,0.0159428125
7,0.065,0.032878332395882094,0.007375722011667849,8.650907710183642e-07,1.4813496811947512e-07,4.457642566228905,5355.881300639949,0.0067193125000000005,0.0182535625
8,0.075,0.031062934041855398,0.0070560387489889045,9.085527592555999e-07,1.6003570686201287e-07,4.402319083962877,5289.409841846971,0.0067193125000000005,0.0182535625
9,0.085,0.029384001859262633,0.006753775730984444,9.348250133635395e-07,1.62092699636427e-07,4.350751791247229,5227.451464817649,0.0086156875,0.0182535625
10,0.095,0.02782716944019155,0.006467758597138692,9.462565629856635e-07,1.6231911516875539e-07,4.3024440418203245,5169.409446421715,0.0089520625,0.0182535625
11,0.105,0.026379563285805686,0.006196753388983284,9.684522868707118e-07,1.5986374043022732e-07,4.256997435577123,5114.805106809661,0.0097223125,0.0182535625
12,0.115,0.025030339357379656,0.005939745554407836,9.469749523660673e-07,1.518545170965965e-07,4.2140423572192995,5063.19435123066,0.0097223125,0.0188483125
13,0.125,0.02377031370457613,0.0056957625479105,8.586165478517222e-07,1.299282558742688e-07,4.173332983007922,5014.281821152251,0.010282937499999999,0.0206666875
14,0.135,0.02259157408682463,0.005463967572699228,8.152744881001402e-07,1.1929241360978897e-07,4.134646442578406,4967.799736643581,0.0117746875,0.0206666875
15,0.145,0.021486851838351716,0.005243536759682636,8.250146770591649e-07,1.2749905928853433e-07,4.097778431451714,4923.5026247842325,0.0117746875,0.0206666875
16,0.155,0.020450049157919245,0.005033780830929792,8.205604848111633e-07,1.3188033422683802e-07,4.062562484299084,4881.190476594509,0.0117746875,0.021870812499999996
17,0.165,0.019476295332912077,0.004834163688908499,8.111252411734117e-07,1.3652753336928698e-07,4.028886191338219,4840.728231121885,0.0117746875,0.0231919375
18,0.175,0.018559700466708195,0.004643910824921927,7.887355545526817e-07,1.4376031417119538e-07,3.996566938173327,4801.896476196561,0.0136661875,0.0231919375
19,0.185,0.01769684655533037,0.004462636759441825,8.045131881745566e-07,1.465807936888006e-07,3.965558370371118,4764.63951671989,0.0136661875,0.0231919375
