mesh 2_x,mesh 2_y,mesh 2_z,energy low [eV],energy high [eV],nuclide,score,mean,std. dev.,z mid [cm],energy mid [eV]
1,1,1,0.002514625,0.0025195,total,"(n,p)",8.170573827204843e-06,2.948184092386477e-08,0.005,0.0025170625
1,1,2,0.002621875,0.00262675,total,"(n,p)",7.113420033078408e-06,3.2583396630821205e-08,0.015,0.0026243125
1,1,3,0.00389425,0.003899125,total,"(n,p)",6.29176013947141e-06,2.890878988309037e-08,0.025,0.0038966875
1,1,4,0.00502525,0.005030125,total,"(n,p)",5.647500784780642e-06,1.9793826590862208e-08,0.035,0.0050276875
1,1,5,0.00502525,0.005030125,total,"(n,p)",5.120609145298784e-06,2.0079304992311715e-08,0.045,0.0050276875
1,1,6,0.006385375,0.00639025,total,"(n,p)",4.654793465783419e-06,2.5543311114953676e-08,0.055,0.0063878125
1,1,7,0.006716875000000001,0.00672175,total,"(n,p)",4.274565695758378e-06,2.3191691790899403e-08,0.065,0.0067193125000000005
1,1,8,0.006716875000000001,0.00672175,total,"(n,p)",3.9281838517380265e-06,2.114064181152675e-08,0.075,0.0067193125000000005
1,1,9,0.00861325,0.008618125,total,"(n,p)",3.638556702134898e-06,1.1735522209044543e-08,0.085,0.0086156875
1,1,10,0.008949625,0.0089545,total,"(n,p)",3.376858976095398e-06,1.3388290886574198e-08,0.095,0.0089520625
1,1,11,0.009719875,0.00972475,total,"(n,p)",3.144397921280822e-06,1.611477669337689e-08,0.105,0.0097223125
1,1,12,0.009719875,0.00972475,total,"(n,p)",2.9275013859457633e-06,1.5928149460045567e-08,0.115,0.0097223125
1,1,13,0.0102805,0.010285375,total,"(n,p)",2.7347512374716916e-06,7.976527468362209e-09,0.125,0.010282937499999999
1,1,14,0.01177225,0.011777125000000001,total,"(n,p)",2.5560557883677657e-06,1.2652902328094306e-08,0.135,0.0117746875
1,1,15,0.01177225,0.011777125000000001,total,"(n,p)",2.399236035706353e-06,1.1937794806171288e-08,0.145,0.0117746875
1,1,16,0.01177225,0.011777125000000001,total,"(n,p)",2.2476865977272698e-06,1.0946128434142833e-08,0.155,0.0117746875
1,1,17,0.01177225,0.011777125000000001,total,"(n,p)",2.106556234212094e-06,1.0146116741665866e-08,0.165,0.0117746875
1,1,18,0.01366375,0.013668625,total,"(n,p)",1.983435134798943e-06,7.401795394684712e-09,0.175,0.0136661875
1,1,19,0.01366375,0.013668625,total,"(n,p)",1.8690884879220624e-06,7.593849383297667e-09,0.185,0.0136661875
1,1,20,0.01366375,0.013668625,total,"(n,p)",1.7629872896947807e-06,7.534591478425697e-09,0.195,0.0136661875
1,1,21,0.01366375,0.013668625,total,"(n,p)",1.6631694724234176e-06,7.803306061569459e-09,0.205,0.0136661875
1,1,22,0.015248125,0.015253000000000001,total,"(n,p)",1.5720712072532682e-06,1.0417081907343104e-08,0.215,0.0152505625
1,1,23,0.015248125,0.015253000000000001,total,"(n,p)",1.487791047563846e-06,1.0061002989554083e-08,0.225,0.0152505625
1,1,24,0.015813624999999998,0.0158185,total,"(n,p)",1.409132590228497e-06,6.861141593689582e-09,0.235,0.0158160625
1,1,25,0.015813624999999998,0.0158185,total,"(n,p)",1.3357648789210664e-06,6.996143157678244e-09,0.245,0.0158160625
1,1,26,0.015813624999999998,0.0158185,total,"(n,p)",1.2663282223466018e-06,7.1044455524411895e-09,0.255,0.0158160625
1,1,27,0.018143874999999997,0.018148749999999998,total,"(n,p)",1.201000946268456e-06,7.035909122828694e-09,0.265,0.018146312499999998
1,1,28,0.018143874999999997,0.018148749999999998,total,"(n,p)",1.1386212148408793e-06,6.57023475022103e-09,0.275,0.018146312499999998
1,1,29,0.018143874999999997,0.018148749999999998,total,"(n,p)",1.0825588191506567e-06,6.4067283600070434e-09,0.285,0.018146312499999998
1,1,30,0.018143874999999997,0.018148749999999998,total,"(n,p)",1.0292915801928702e-06,6.550066765169833e-09,0.295,0.018146312499999998
1,1,31,0.018143874999999997,0.018148749999999998,total,"(n,p)",9.753869427500264e-07,6.616953210323474e-09,0.305,0.018146312499999998
