mesh 1_x,mesh 1_y,mesh 1_z,energy low [eV],energy high [eV],nuclide,score,mean,std. dev.,z mid [cm],energy mid [eV]
1,1,1,0.013522375,0.013527250000000001,total,flux,8.776426080154962e-07,1.1162845752747701e-10,0.005,0.0135248125
1,1,2,0.014760625,0.0147655,total,flux,7.796098342273426e-07,7.893026742465749e-11,0.015,0.0147630625
1,1,3,0.016296249999999998,0.016301125,total,flux,6.96141992075298e-07,1.189118568328565e-10,0.025,0.0162986875
1,1,4,0.017280999999999998,0.017285875,total,flux,6.244970378137806e-07,8.973439912842927e-11,0.035,0.0172834375
1,1,5,0.018602124999999997,0.018607,total,flux,5.620629059757902e-07,7.598540213733116e-11,0.045,0.018604562499999998
1,1,6,0.019713625,0.0197185,total,flux,5.076323111825403e-07,5.3975224174439486e-11,0.055,0.0197160625
1,1,7,0.020625249999999998,0.020630125,total,flux,4.5969227892805463e-07,5.82504452449118e-11,0.065,0.0206276875
1,1,8,0.0215905,0.021595375,total,flux,4.17305330797022e-07,4.8508110619649014e-11,0.075,0.0215929375
1,1,9,0.022784875,0.022789749999999998,total,flux,3.796646843896079e-07,6.862060782396279e-11,0.085,0.022787312499999997
1,1,10,0.023896374999999997,0.02390125,total,flux,3.461411142075768e-07,6.590927228685837e-11,0.095,0.023898812499999998
1,1,11,0.024237625,0.024242499999999997,total,flux,3.161490589620336e-07,6.428392955268597e-11,0.105,0.0242400625
1,1,12,0.025193124999999997,0.025197999999999998,total,flux,2.8921945607024087e-07,5.706080057122442e-11,0.115,0.025195562499999997
1,1,13,0.026689749999999998,0.026694625,total,flux,2.649679576367471e-07,4.111168366861785e-11,0.125,0.0266921875
1,1,14,0.027104125,0.027108999999999998,total,flux,2.4308000431605567e-07,4.2390774982327903e-11,0.135,0.0271065625
1,1,15,0.027864624999999997,0.0278695,total,flux,2.2337187209566653e-07,4.303568879124831e-11,0.145,0.027867062499999998
1,1,16,0.028717749999999997,0.028722624999999998,total,flux,2.0548617191882894e-07,4.9604677695509906e-11,0.155,0.028720187499999997
1,1,17,0.029624499999999998,0.029629375,total,flux,1.8924098817870175e-07,4.1993125258326027e-11,0.165,0.0296269375
1,1,18,0.030302125,0.030306999999999997,total,flux,1.7448378535410935e-07,4.648513414679647e-11,0.175,0.0303045625
1,1,19,0.031325875,0.03133075,total,flux,1.6108224025509444e-07,4.254840194260048e-11,0.185,0.0313283125
1,1,20,0.03209125,0.032096125,total,flux,1.4880014332858113e-07,4.426679233621931e-11,0.195,0.0320936875
1,1,21,0.032803,0.032807875,total,flux,1.376020711879449e-07,2.8601181607913405e-11,0.205,0.0328054375
1,1,22,0.033353875,0.03335875,total,flux,1.2737914642700794e-07,3.079521434501648e-11,0.215,0.0333563125
1,1,23,0.034265500000000004,0.034270375,total,flux,1.1799144948559449e-07,2.921553172909613e-11,0.225,0.0342679375
1,1,24,0.0355135,0.035518375000000005,total,flux,1.0941216671508546e-07,2.712517183189782e-11,0.235,0.035515937500000004
1,1,25,0.0355135,0.035518375000000005,total,flux,1.0153292131438095e-07,2.5236932299972084e-11,0.245,0.035515937500000004
1,1,26,0.036625000000000005,0.036629875,total,flux,9.427841850469353e-08,3.2060992446204055e-11,0.255,0.0366274375
1,1,27,0.0369955,0.037000375,total,flux,8.759342381292859e-08,3.025294225978196e-11,0.265,0.0369979375
1,1,28,0.037741375,0.03774625,total,flux,8.145695710568433e-08,3.017186010902878e-11,0.275,0.0377438125
1,1,29,0.038428750000000005,0.038433625,total,flux,7.580176581744962e-08,3.258062697967718e-11,0.285,0.038431187500000005
1,1,30,0.038969875,0.03897475,total,flux,7.056044104424098e-08,3.125307738164325e-11,0.295,0.0389723125
1,1,31,0.040071625,0.0400765,total,flux,6.573457829733786e-08,2.89598231365993e-11,0.305,0.0400740625
1,1,32,0.040890625,0.0408955,total,flux,6.127214480547084e-08,2.6737448469781118e-11,0.315,0.0408930625
1,1,33,0.0409735,0.040978375000000004,total,flux,5.714605485807083e-08,2.587390367388191e-11,0.325,0.040975937500000004
1,1,34,0.042323875000000004,0.04232875,total,flux,5.3332265072200426e-08,2.096349516193645e-11,0.335,0.042326312500000005
1,1,35,0.042323875000000004,0.04232875,total,flux,4.979929934571841e-08,1.982024679147971e-11,0.345,0.042326312500000005
1,1,36,0.042635875000000004,0.04264075,total,flux,4.651227047217191e-08,1.7198667039797212e-11,0.355,0.0426383125
1,1,37,0.043918,0.043922875,total,flux,4.3468579203971514e-08,1.480641118563482e-11,0.365,0.0439204375
1,1,38,0.044244625,0.044249500000000004,total,flux,4.0650234507574096e-08,2.1246498872965288e-11,0.375,0.0442470625
1,1,39,0.04462975,0.044634625000000004,total,flux,3.8031660656951386e-08,1.9295889277886838e-11,0.385,0.0446321875
1,1,40,0.04620925,0.046214125,total,flux,3.561749900820492e-08,1.8858669433610353e-11,0.395,0.0462116875
1,1,41,0.04620925,0.046214125,total,flux,3.3359306294579556e-08,1.744574018518512e-11,0.405,0.0462116875
1,1,42,0.04620925,0.046214125,total,flux,3.12482904901462e-08,1.6220304988794047e-11,0.415,0.0462116875
1,1,43,0.046823500000000004,0.046828375,total,flux,2.926865817995188e-08,2.0973096808113314e-11,0.425,0.0468259375
1,1,44,0.048017875,0.04802275,total,flux,2.7446352050586402e-08,1.7117542514720407e-11,0.435,0.0480203125
1,1,45,0.048632125,0.048637,total,flux,2.574157850502522e-08,1.976490048350607e-11,0.445,0.0486345625
1,1,46,0.049597375,0.04960225,total,flux,2.4150886341529944e-08,1.2273775857750843e-11,0.455,0.0495998125
1,1,47,0.049597375,0.04960225,total,flux,2.267592462527072e-08,1.2463673212434171e-11,0.465,0.0495998125
1,1,48,0.05100625,0.051011125000000004,total,flux,2.1288611472294224e-08,1.2655084333853293e-11,0.475,0.051008687500000004
1,1,49,0.05100625,0.051011125000000004,total,flux,2.000350074528496e-08,1.2086818909396556e-11,0.485,0.051008687500000004
1,1,50,0.05100625,0.051011125000000004,total,flux,1.8795168983114003e-08,1.1584996696284605e-11,0.495,0.051008687500000004
1,1,51,0.0516985,0.051703375,total,flux,1.766429892614075e-08,1.4850529072869982e-11,0.505,0.0517009375
1,1,52,0.053204875,0.05320975,total,flux,1.6614673557923683e-08,1.3923928235268787e-11,0.515,0.0532073125
1,1,53,0.053204875,0.05320975,total,flux,1.562883969875888e-08,1.2732265961635294e-11,0.525,0.0532073125
1,1,54,0.05363875,0.053643625,total,flux,1.4702094999080953e-08,1.511800609067255e-11,0.535,0.0536411875
1,1,55,0.054682,0.054686875,total,flux,1.384390118163593e-08,1.0866319348645568e-11,0.545,0.0546844375
