mesh 1_z,z mid [cm],"(n,p) [rxns]",flux*V [trks-cm],"(n,p) sd",flux*V sd,"(n,p) macro-xs [1/cm]","(n,p) micro-xs [b]","(n,p) mode [eV]",flux mode [eV]
1,0.005,0.09297292,0.009526652,5.61E-08,2.09E-09,9.759243955,5862.891812,0.002502438,0.013524813
2,0.015,0.081291461,0.008657797,6.55E-08,3.72E-09,9.389393676,5640.703272,0.004194063,0.014763063
3,0.025,0.071842761,0.007893588,7.73E-08,4.60E-09,9.101407486,5467.694801,0.005719938,0.016298688
4,0.035,0.063940967,0.007215668,7.31E-08,5.00E-09,8.861405982,5323.513257,0.007206813,0.017283438
5,0.045,0.057211551,0.006610631,6.85E-08,5.25E-09,8.654476458,5199.199795,0.008542563,0.018604562
6,0.055,0.051409532,0.006068067,5.86E-08,5.35E-09,8.472142881,5089.662412,0.009858813,0.019716063
7,0.065,0.046361023,0.00557963,5.77E-08,5.81E-09,8.308977723,4991.640509,0.011058063,0.020627688
8,0.075,0.041936309,0.005138464,5.46E-08,5.68E-09,8.1612545,4902.895389,0.012018438,0.021592938
9,0.085,0.038035348,0.004738855,5.04E-08,5.54E-09,8.026274013,4821.805502,0.013100688,0.022787312
10,0.095,0.034579039,0.00437598,4.18E-08,5.13E-09,7.902010462,4747.153842,0.014153688,0.023898812
11,0.105,0.031503625,0.004045722,3.95E-08,5.44E-09,7.786898294,4677.999901,0.015196938,0.024240063
12,0.115,0.028756933,0.003744539,3.47E-08,5.00E-09,7.679700092,4613.600295,0.016015938,0.025195562
13,0.125,0.026295766,0.003469366,3.37E-08,4.72E-09,7.579415136,4553.35384,0.016912938,0.026692188
14,0.135,0.024084056,0.003217542,3.18E-08,4.46E-09,7.485233698,4496.77409,0.017995188,0.027106563
15,0.145,0.022091222,0.002986724,3.03E-08,4.47E-09,7.396472928,4443.450821,0.018755688,0.027867062
16,0.155,0.020291321,0.002774857,2.82E-08,4.26E-09,7.312565518,4393.043221,0.019433312,0.028720187
17,0.165,0.018662092,0.002580123,2.81E-08,4.12E-09,7.23302416,4345.258538,0.020744687,0.029626938
18,0.175,0.017184394,0.002400914,2.91E-08,4.14E-09,7.157438134,4299.850032,0.021129812,0.030304563
19,0.185,0.015841634,0.002235798,3.03E-08,4.28E-09,7.085448288,4256.60194,0.021914688,0.031328313
20,0.195,0.014619396,0.002083502,3.04E-08,4.38E-09,7.016742039,4215.326478,0.022602063,0.032093688
21,0.205,0.013505079,0.001942885,2.96E-08,4.39E-09,6.951044994,4175.858803,0.023898812,0.032805438
22,0.215,0.01248763,0.001812923,2.68E-08,3.95E-09,6.888119872,4138.056369,0.024210812,0.033356313
23,0.225,0.011557311,0.001692696,2.51E-08,3.74E-09,6.827753343,4101.791016,0.024864063,0.034267938
24,0.235,0.010705548,0.001581379,2.35E-08,3.64E-09,6.769756227,4066.949093,0.025868312,0.035515938
25,0.245,0.009924726,0.001478222,2.47E-08,3.68E-09,6.713961982,4033.430552,0.026648313,0.035515938
26,0.255,0.009208079,0.001382549,2.43E-08,3.54E-09,6.660217885,4001.143643,0.027569688,0.036627438
27,0.265,0.008549618,0.001293752,2.33E-08,3.47E-09,6.608391424,3970.008758,0.027867062,0.036997938
28,0.275,0.007943966,0.001211275,2.17E-08,3.22E-09,6.558352999,3939.948041,0.028617813,0.037743813
29,0.285,0.007386317,0.001134612,2.16E-08,3.13E-09,6.509991629,3910.894819,0.029544063,0.038431188
30,0.295,0.006872376,0.001063307,2.23E-08,3.18E-09,6.463207875,3882.789354,0.030553188,0.038972313
31,0.305,0.006398291,0.000996943,2.19E-08,3.12E-09,6.417910908,3855.577081,0.031381938,0.040074063
32,0.315,0.005960565,0.000935136,2.12E-08,3.05E-09,6.374010897,3829.204032,0.031381938,0.040893063
33,0.325,0.005556096,0.000877542,1.99E-08,3.04E-09,6.331434235,3803.625989,0.032386188,0.040975938
34,0.335,0.005182042,0.00082384,1.91E-08,2.95E-09,6.29010468,3778.797148,0.032805438,0.042326313
